"dataset","base_dataset","replicate","separability","composition","method","true_celltype","recall"
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Leiden","Naive_CD4_T",0.958
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Leiden","CD4_T_memory",0.919
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Leiden","CD8_T",0.994
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Kmeans","Naive_CD4_T",0.945
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Kmeans","CD4_T_memory",0.943
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Kmeans","CD8_T",0.99
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Hierarchical","Naive_CD4_T",0.902
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Hierarchical","CD4_T_memory",0.88
"S4_low_balanced_rep2","S4_low_balanced",2,"Low","Balanced","Hierarchical","CD8_T",0.971
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Louvain","Naive_CD4_T",0.961
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Louvain","CD4_T_memory",0.942
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Louvain","CD8_T",0.994
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Leiden","Naive_CD4_T",0.959
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Leiden","CD4_T_memory",0.943
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Leiden","CD8_T",0.994
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Kmeans","Naive_CD4_T",0.962
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Kmeans","CD4_T_memory",0.952
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Kmeans","CD8_T",0.99
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Hierarchical","Naive_CD4_T",0.906
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Hierarchical","CD4_T_memory",0.889
"S4_low_balanced_rep3","S4_low_balanced",3,"Low","Balanced","Hierarchical","CD8_T",0.98
